model,id,quales_id,quales_split,assertion,input,goal,target_word,predicted_word,exact_match,raw_prediction,predicted_token_ids,prediction_truncated
charruaLLM,0,10,dev_gold,El Pereira Rossell es un hospital.,El Pereira Rossell es un, hospital,hospital,centro,False, centro,[1763],False
charruaLLM,1,100,dev_gold,El sector de alojamiento y servicios de comida envió la mayor cantidad de trabajadores al seguro de desempleo.,El sector de alojamiento y servicios de comida envió la mayor cantidad de trabajadores al seguro de, desempleo,desempleo,paro,False, paro.,"[3555, 14]",False
charruaLLM,2,103,dev_gold,"Históricamente, el 60% de las empresas del sector manufacturero envió a sus trabajadores al seguro de desempleo.","Históricamente, el 60% de las empresas del sector manufacturero envió a sus trabajadores al seguro de", desempleo,desempleo,paro,False, paro.,"[3555, 14]",False
charruaLLM,3,108,dev_gold,Las escuelas privadas no tenían una posible fecha para comenzar el nuevo régimen.,Las escuelas privadas no tenían una posible fecha para comenzar el nuevo, régimen,régimen,año,False, año,[656],False
charruaLLM,4,114,dev_gold,"La plataforma CREA, de Plan Ceibal, fue una herramienta clave para la educación virtual.","La plataforma CREA, de Plan Ceibal, fue una herramienta clave para la educación", virtual,virtual,de,False, de,[259],False
charruaLLM,5,115,dev_gold,La OPS es la Organización Panamericana de la Salud.,La OPS es la Organización Panamericana de la, Salud,Salud,Salud,True, Salud,[2979],False
charruaLLM,6,116,dev_gold,Carissa Etienne fue el presidente de la OPS.,Carissa Etienne fue el presidente de la, OPS,OPS,Asociación,False, Asociación,[3195],False
charruaLLM,7,119,dev_gold,"La directora de la OPS, Carissa Etienne, era de Dominica.","La directora de la OPS, Carissa Etienne, era de", Dominica,Dominica,las,False, las,[339],False
charruaLLM,8,12,dev_gold,El Maciel es un hospital.,El Maciel es un, hospital,hospital,lugar,False, lugar,[944],False
charruaLLM,9,120,dev_gold,"Algunos sectores poblacionales del continente, como los indígenas y afrodescendientes, tienen peor acceso al sistema de salud estatal en Latinoamérica.","Algunos sectores poblacionales del continente, como los indígenas y afrodescendientes, tienen peor acceso al sistema de salud estatal en", Latinoamérica,Latinoamérica,el,False, el,[286],False
charruaLLM,10,126,dev_gold,En México se registraban diez femicidios por día.,En México se registraban diez femicidios por, día,día,cada,False, cada,[1044],False
charruaLLM,11,131,dev_gold,Nigel Manchini es profesor de Filosofía y magíster en Neuropsicología y Educación.,Nigel Manchini es profesor de Filosofía y magíster en Neuropsicología y, Educación,Educación,Ciencias,False, Ciencias,[7995],False
charruaLLM,12,132,dev_gold,Las manifestaciones populares desaparecieron con la pandemia.,Las manifestaciones populares desaparecieron con la, pandemia,pandemia,muerte,False, muerte,[2275],False
charruaLLM,13,133,dev_gold,Jair Bolsonaro fue presidente de Brasil.,Jair Bolsonaro fue presidente de, Brasil,Brasil,Brasil,True, Brasil,[1410],False
charruaLLM,14,134,dev_gold,Las redes bolsonaristas acusaron al Partido Comunista Chino por la expansión del coronavirus.,Las redes bolsonaristas acusaron al Partido Comunista Chino por la expansión del, coronavirus,coronavirus,poder,False, poder,[1430],False
charruaLLM,15,135,dev_gold,Yang Wanming fue embajador chino en Brasil.,Yang Wanming fue embajador chino en, Brasil,Brasil,la,False, la,[279],False
charruaLLM,16,136,dev_gold,El canciller de Brasil fue Ernesto Araújo.,El canciller de Brasil fue Ernesto, Araújo,Araújo,"Araújo,",False," Araújo,","[5216, 355, 469, 12]",False
charruaLLM,17,137,dev_gold,El hashtag #VirusChino se volvió tendencia.,El hashtag #VirusChino se volvió, tendencia,tendencia,viral,False, viral,"[423, 1002]",False
charruaLLM,18,138,dev_gold,Bernardo Küster fue director del portal Brasil sin miedo.,Bernardo Küster fue director del portal Brasil sin, miedo,miedo,la,False, la,[279],False
charruaLLM,19,143,dev_gold,Las causas de la obesidad en niños son la falta de actividad física y el consumo de alimentos ultraprocesados y bebidas azucaradas.,Las causas de la obesidad en niños son la falta de actividad física y el consumo de alimentos ultraprocesados y bebidas, azucaradas,azucaradas,azucaradas,True, azucaradas.,"[4738, 85, 766, 564, 14]",False
charruaLLM,20,145,dev_gold,Unicef en América Latina está en Panamá.,Unicef en América Latina está en, Panamá,Panamá,el,False, el,[286],False
charruaLLM,21,146,dev_gold,Jean Gough representó a Unicef en América Latina.,Jean Gough representó a Unicef en América, Latina,Latina,Latina,True, Latina.,"[3401, 14]",False
charruaLLM,22,148,dev_gold,El coronavirus provoca la enfermedad Covid-19.,El coronavirus provoca la enfermedad, Covid-19,Covid-19,",",False,",",[12],False
charruaLLM,23,149,dev_gold,Los clubes de la B y de la C recibieron donaciones de alimentos y productos de limpieza.,Los clubes de la B y de la C recibieron donaciones de alimentos y productos de, limpieza,limpieza,higiene,False, higiene.,"[13336, 530, 14]",False
charruaLLM,24,151,dev_gold,"La Segunda División Amateur realizó un relevamiento entre todos los planteles de los jugadores que estaban en peor situación, ya que sabían que muchos estaban sin trabajo, recibían muy poco dinero y tenían familia, para evaluar la forma de hacerles llegar un surtido de alimentos y artículos de limpieza.","La Segunda División Amateur realizó un relevamiento entre todos los planteles de los jugadores que estaban en peor situación, ya que sabían que muchos estaban sin trabajo, recibían muy poco dinero y tenían familia, para evaluar la forma de hacerles llegar un surtido de alimentos y artículos de", limpieza,limpieza,higiene,False, higiene.,"[13336, 530, 14]",False
charruaLLM,25,16,dev_gold,Se deja constancia de los datos de coronavirus en la página web del Sistema Nacional de Emergencias (SINAE).,Se deja constancia de los datos de coronavirus en la página web del Sistema Nacional de Emergencias, (SINAE),(SINAE),(Sinae),False, (Sinae).,"[403, 51, 517, 69, 635]",False
charruaLLM,26,164,dev_gold,"La Intersocial está integrada por la central obrera, la Federación de Estudiantes Universitarios del Uruguay, la Organización Nacional de Asociaciones de Jubilados y Pensionistas del Uruguay, la Federación Uruguaya de Cooperativas de Viviendas por Ayuda Mutua, el colectivo Ovejas Negras y la Intersocial Feminista.","La Intersocial está integrada por la central obrera, la Federación de Estudiantes Universitarios del Uruguay, la Organización Nacional de Asociaciones de Jubilados y Pensionistas del Uruguay, la Federación Uruguaya de Cooperativas de Viviendas por Ayuda Mutua, el colectivo Ovejas Negras y la Intersocial", Feminista,Feminista,Feminista,True, Feminista.,"[432, 11351, 697, 14]",False
charruaLLM,27,168,dev_gold,La Sociedad de Medicina Familiar y Comunitaria realizó la solicitud de mantener abiertas las policlínicas.,La Sociedad de Medicina Familiar y Comunitaria realizó la solicitud de mantener abiertas las, policlínicas,policlínicas,inscripciones,False, inscripciones,"[12068, 603]",False
charruaLLM,28,169,dev_gold,Las policlínicas y las visitas domiciliarias de seguimiento resolvían cerca del 80% de los problemas de salud.,Las policlínicas y las visitas domiciliarias de seguimiento resolvían cerca del 80% de los problemas de, salud,salud,salud,True, salud,[2065],False
charruaLLM,29,171,dev_gold,Los especialistas pidieron reforzar la teleasistencia y que los prestadores brindaran vías alternativas de comunicación.,Los especialistas pidieron reforzar la teleasistencia y que los prestadores brindaran vías alternativas de, comunicación,comunicación,acceso,False, acceso,[3337],False
charruaLLM,30,174,dev_gold,Salvador Illa fue el ministro de Salud de España.,Salvador Illa fue el ministro de Salud de, España,España,"Argentina,",False," Argentina,","[1185, 12]",False
charruaLLM,31,175,dev_gold,"En España, se recomendó el uso de tapabocas al aire libre, aunque no era obligatorio, y la policía, tanto a pie como en vehículos y helicópteros, llamaba a las personas a mantener la distancia social.","En España, se recomendó el uso de tapabocas al aire libre, aunque no era obligatorio, y la policía, tanto a pie como en vehículos y helicópteros, llamaba a las personas a mantener la distancia", social,social,social,True, social.,"[1831, 14]",False
