id,quales_id,quales_split,assertion,input,goal
0,10,dev_gold,El Pereira Rossell es un hospital.,El Pereira Rossell es un, hospital
1,100,dev_gold,El sector de alojamiento y servicios de comida envió la mayor cantidad de trabajadores al seguro de desempleo.,El sector de alojamiento y servicios de comida envió la mayor cantidad de trabajadores al seguro de, desempleo
2,103,dev_gold,"Históricamente, el 60% de las empresas del sector manufacturero envió a sus trabajadores al seguro de desempleo.","Históricamente, el 60% de las empresas del sector manufacturero envió a sus trabajadores al seguro de", desempleo
3,108,dev_gold,Las escuelas privadas no tenían una posible fecha para comenzar el nuevo régimen.,Las escuelas privadas no tenían una posible fecha para comenzar el nuevo, régimen
4,114,dev_gold,"La plataforma CREA, de Plan Ceibal, fue una herramienta clave para la educación virtual.","La plataforma CREA, de Plan Ceibal, fue una herramienta clave para la educación", virtual
5,115,dev_gold,La OPS es la Organización Panamericana de la Salud.,La OPS es la Organización Panamericana de la, Salud
6,116,dev_gold,Carissa Etienne fue el presidente de la OPS.,Carissa Etienne fue el presidente de la, OPS
7,119,dev_gold,"La directora de la OPS, Carissa Etienne, era de Dominica.","La directora de la OPS, Carissa Etienne, era de", Dominica
8,12,dev_gold,El Maciel es un hospital.,El Maciel es un, hospital
9,120,dev_gold,"Algunos sectores poblacionales del continente, como los indígenas y afrodescendientes, tienen peor acceso al sistema de salud estatal en Latinoamérica.","Algunos sectores poblacionales del continente, como los indígenas y afrodescendientes, tienen peor acceso al sistema de salud estatal en", Latinoamérica
10,126,dev_gold,En México se registraban diez femicidios por día.,En México se registraban diez femicidios por, día
11,131,dev_gold,Nigel Manchini es profesor de Filosofía y magíster en Neuropsicología y Educación.,Nigel Manchini es profesor de Filosofía y magíster en Neuropsicología y, Educación
12,132,dev_gold,Las manifestaciones populares desaparecieron con la pandemia.,Las manifestaciones populares desaparecieron con la, pandemia
13,133,dev_gold,Jair Bolsonaro fue presidente de Brasil.,Jair Bolsonaro fue presidente de, Brasil
14,134,dev_gold,Las redes bolsonaristas acusaron al Partido Comunista Chino por la expansión del coronavirus.,Las redes bolsonaristas acusaron al Partido Comunista Chino por la expansión del, coronavirus
15,135,dev_gold,Yang Wanming fue embajador chino en Brasil.,Yang Wanming fue embajador chino en, Brasil
16,136,dev_gold,El canciller de Brasil fue Ernesto Araújo.,El canciller de Brasil fue Ernesto, Araújo
17,137,dev_gold,El hashtag #VirusChino se volvió tendencia.,El hashtag #VirusChino se volvió, tendencia
18,138,dev_gold,Bernardo Küster fue director del portal Brasil sin miedo.,Bernardo Küster fue director del portal Brasil sin, miedo
19,143,dev_gold,Las causas de la obesidad en niños son la falta de actividad física y el consumo de alimentos ultraprocesados y bebidas azucaradas.,Las causas de la obesidad en niños son la falta de actividad física y el consumo de alimentos ultraprocesados y bebidas, azucaradas
20,145,dev_gold,Unicef en América Latina está en Panamá.,Unicef en América Latina está en, Panamá
21,146,dev_gold,Jean Gough representó a Unicef en América Latina.,Jean Gough representó a Unicef en América, Latina
22,148,dev_gold,El coronavirus provoca la enfermedad Covid-19.,El coronavirus provoca la enfermedad, Covid-19
23,149,dev_gold,Los clubes de la B y de la C recibieron donaciones de alimentos y productos de limpieza.,Los clubes de la B y de la C recibieron donaciones de alimentos y productos de, limpieza
24,151,dev_gold,"La Segunda División Amateur realizó un relevamiento entre todos los planteles de los jugadores que estaban en peor situación, ya que sabían que muchos estaban sin trabajo, recibían muy poco dinero y tenían familia, para evaluar la forma de hacerles llegar un surtido de alimentos y artículos de limpieza.","La Segunda División Amateur realizó un relevamiento entre todos los planteles de los jugadores que estaban en peor situación, ya que sabían que muchos estaban sin trabajo, recibían muy poco dinero y tenían familia, para evaluar la forma de hacerles llegar un surtido de alimentos y artículos de", limpieza
25,16,dev_gold,Se deja constancia de los datos de coronavirus en la página web del Sistema Nacional de Emergencias (SINAE).,Se deja constancia de los datos de coronavirus en la página web del Sistema Nacional de Emergencias, (SINAE)
26,164,dev_gold,"La Intersocial está integrada por la central obrera, la Federación de Estudiantes Universitarios del Uruguay, la Organización Nacional de Asociaciones de Jubilados y Pensionistas del Uruguay, la Federación Uruguaya de Cooperativas de Viviendas por Ayuda Mutua, el colectivo Ovejas Negras y la Intersocial Feminista.","La Intersocial está integrada por la central obrera, la Federación de Estudiantes Universitarios del Uruguay, la Organización Nacional de Asociaciones de Jubilados y Pensionistas del Uruguay, la Federación Uruguaya de Cooperativas de Viviendas por Ayuda Mutua, el colectivo Ovejas Negras y la Intersocial", Feminista
27,168,dev_gold,La Sociedad de Medicina Familiar y Comunitaria realizó la solicitud de mantener abiertas las policlínicas.,La Sociedad de Medicina Familiar y Comunitaria realizó la solicitud de mantener abiertas las, policlínicas
28,169,dev_gold,Las policlínicas y las visitas domiciliarias de seguimiento resolvían cerca del 80% de los problemas de salud.,Las policlínicas y las visitas domiciliarias de seguimiento resolvían cerca del 80% de los problemas de, salud
29,171,dev_gold,Los especialistas pidieron reforzar la teleasistencia y que los prestadores brindaran vías alternativas de comunicación.,Los especialistas pidieron reforzar la teleasistencia y que los prestadores brindaran vías alternativas de, comunicación
30,174,dev_gold,Salvador Illa fue el ministro de Salud de España.,Salvador Illa fue el ministro de Salud de, España
31,175,dev_gold,"En España, se recomendó el uso de tapabocas al aire libre, aunque no era obligatorio, y la policía, tanto a pie como en vehículos y helicópteros, llamaba a las personas a mantener la distancia social.","En España, se recomendó el uso de tapabocas al aire libre, aunque no era obligatorio, y la policía, tanto a pie como en vehículos y helicópteros, llamaba a las personas a mantener la distancia", social
32,177,dev_gold,La primera muerte por coronavirus en Brasil ocurrió en 2020.,La primera muerte por coronavirus en Brasil ocurrió en, 2020
33,181,dev_gold,La Agencia Nacional de Seguridad Vial aumentó los controles para desalentar el turismo.,La Agencia Nacional de Seguridad Vial aumentó los controles para desalentar el, turismo
34,184,dev_gold,El lanzamiento de la aplicación fue a las 19:30 horas.,El lanzamiento de la aplicación fue a las 19:30, horas
35,186,dev_gold,"Inicialmente, la tecnología de alertas de exposición se probó en cuatro países.","Inicialmente, la tecnología de alertas de exposición se probó en cuatro", países
36,187,dev_gold,La Tabaré se presentó en la cárcel de Punta de Rieles.,La Tabaré se presentó en la cárcel de Punta de, Rieles
37,191,dev_gold,La Tabaré tocó arriba del ring de boxeo del gimnasio del Polo Industrial de la cárcel de Punta de Rieles.,La Tabaré tocó arriba del ring de boxeo del gimnasio del Polo Industrial de la cárcel de Punta de, Rieles
38,201,dev_gold,Lo primero que se debía hacer para combatir el covid-19 era cumplir y apoyar las medidas del gobierno.,Lo primero que se debía hacer para combatir el covid-19 era cumplir y apoyar las medidas del, gobierno
39,206,dev_gold,La pandemia del coronavirus está afectando al mundo entero.,La pandemia del coronavirus está afectando al mundo, entero
40,209,dev_gold,Gustavo Leal es el ex director de Convivencia y Seguridad Ciudadana del Ministerio del Interior.,Gustavo Leal es el ex director de Convivencia y Seguridad Ciudadana del Ministerio del, Interior
41,210,dev_gold,La decisión de la cuarentena general y estricta en Europa se tomó cuando la situación desbordó los servicios de salud.,La decisión de la cuarentena general y estricta en Europa se tomó cuando la situación desbordó los servicios de, salud
42,211,dev_gold,"La cuarentena general y estricta implica claridad en las actividades autorizadas, control y sanciones en caso de incumplimiento.","La cuarentena general y estricta implica claridad en las actividades autorizadas, control y sanciones en caso de", incumplimiento
43,214,dev_gold,Los habitantes de Sydney podían alejarse hasta 10 kilómetros de sus casas.,Los habitantes de Sydney podían alejarse hasta 10 kilómetros de sus, casas
44,232,dev_gold,Las policlínicas estuvieron cerradas desde que se conocieron los primeros casos de covid-19.,Las policlínicas estuvieron cerradas desde que se conocieron los primeros casos de, covid-19
45,236,dev_gold,Sumefac es la sigla de la Sociedad Uruguaya de Medicina Familiar y Comunitaria.,Sumefac es la sigla de la Sociedad Uruguaya de Medicina Familiar y, Comunitaria
