model,id,quales_id,quales_split,assertion,input,goal,target_word,predicted_word,target_token_count,target_token_ids,target_token_details,nll_sum,nll_mean,target_word_probability,geometric_mean_token_probability,token_perplexity
charruaLLM,0,10,dev_gold,El Pereira Rossell es un hospital.,El Pereira Rossell es un, hospital,hospital,centro,1,[3864],"[{""position"": 0, ""token_id"": 3864, ""token"": ""Ġhospital"", ""probability"": 0.018115155777885115, ""nll"": 4.0110063552856445}]",4.0110063552856445,4.0110063552856445,0.018115155777885115,0.018115155777885115,55.20239584253505
charruaLLM,1,100,dev_gold,El sector de alojamiento y servicios de comida envió la mayor cantidad de trabajadores al seguro de desempleo.,El sector de alojamiento y servicios de comida envió la mayor cantidad de trabajadores al seguro de, desempleo,desempleo,paro,1,[5605],"[{""position"": 0, ""token_id"": 5605, ""token"": ""Ġdesempleo"", ""probability"": 0.060611156606733295, ""nll"": 2.803276300430298}]",2.803276300430298,2.803276300430298,0.060611156606733295,0.060611156606733295,16.498612730464046
charruaLLM,2,103,dev_gold,"Históricamente, el 60% de las empresas del sector manufacturero envió a sus trabajadores al seguro de desempleo.","Históricamente, el 60% de las empresas del sector manufacturero envió a sus trabajadores al seguro de", desempleo,desempleo,paro,1,[5605],"[{""position"": 0, ""token_id"": 5605, ""token"": ""Ġdesempleo"", ""probability"": 0.05905956011128666, ""nll"": 2.8292088508605957}]",2.8292088508605957,2.8292088508605957,0.05905956011128666,0.05905956011128666,16.93205973962027
charruaLLM,3,108,dev_gold,Las escuelas privadas no tenían una posible fecha para comenzar el nuevo régimen.,Las escuelas privadas no tenían una posible fecha para comenzar el nuevo, régimen,régimen,año,1,[3790],"[{""position"": 0, ""token_id"": 3790, ""token"": ""ĠrÃ©gimen"", ""probability"": 0.003680887515423842, ""nll"": 5.6046013832092285}]",5.6046013832092285,5.6046013832092285,0.003680887515423842,0.003680887515423842,271.6736101849756
charruaLLM,4,114,dev_gold,"La plataforma CREA, de Plan Ceibal, fue una herramienta clave para la educación virtual.","La plataforma CREA, de Plan Ceibal, fue una herramienta clave para la educación", virtual,virtual,de,1,[10794],"[{""position"": 0, ""token_id"": 10794, ""token"": ""Ġvirtual"", ""probability"": 0.002063717861509194, ""nll"": 6.18324613571167}]",6.18324613571167,6.18324613571167,0.002063717861509194,0.002063717861509194,484.5623612855206
charruaLLM,5,115,dev_gold,La OPS es la Organización Panamericana de la Salud.,La OPS es la Organización Panamericana de la, Salud,Salud,Salud,1,[2979],"[{""position"": 0, ""token_id"": 2979, ""token"": ""ĠSalud"", ""probability"": 0.958166520286467, ""nll"": 0.04273369535803795}]",0.04273369535803795,0.04273369535803795,0.958166520286467,0.958166520286467,1.0436599263570867
charruaLLM,6,116,dev_gold,Carissa Etienne fue el presidente de la OPS.,Carissa Etienne fue el presidente de la, OPS,OPS,Asociación,2,"[553, 4846]","[{""position"": 0, ""token_id"": 553, ""token"": ""ĠO"", ""probability"": 0.002403935166924251, ""nll"": 6.030648231506348}, {""position"": 1, ""token_id"": 4846, ""token"": ""PS"", ""probability"": 0.022319847018242345, ""nll"": 3.802278995513916}]",9.832927227020264,4.916463613510132,5.3655465167522164e-05,0.007324989089925129,136.51897466651673
charruaLLM,7,119,dev_gold,"La directora de la OPS, Carissa Etienne, era de Dominica.","La directora de la OPS, Carissa Etienne, era de", Dominica,Dominica,las,2,"[6836, 425]","[{""position"": 0, ""token_id"": 6836, ""token"": ""ĠDomin"", ""probability"": 1.2229484414414395e-05, ""nll"": 11.311660766601562}, {""position"": 1, ""token_id"": 425, ""token"": ""ica"", ""probability"": 0.11143075509440069, ""nll"": 2.1943519115448}]",13.506012678146362,6.753006339073181,1.3627406827134007e-06,0.0011673648455874455,856.630216148728
charruaLLM,8,12,dev_gold,El Maciel es un hospital.,El Maciel es un, hospital,hospital,lugar,1,[3864],"[{""position"": 0, ""token_id"": 3864, ""token"": ""Ġhospital"", ""probability"": 0.02236476275428649, ""nll"": 3.8002686500549316}]",3.8002686500549316,3.8002686500549316,0.02236476275428649,0.02236476275428649,44.713195082220906
charruaLLM,9,120,dev_gold,"Algunos sectores poblacionales del continente, como los indígenas y afrodescendientes, tienen peor acceso al sistema de salud estatal en Latinoamérica.","Algunos sectores poblacionales del continente, como los indígenas y afrodescendientes, tienen peor acceso al sistema de salud estatal en", Latinoamérica,Latinoamérica,el,1,[6348],"[{""position"": 0, ""token_id"": 6348, ""token"": ""ĠLatinoamÃ©rica"", ""probability"": 0.020631934915542258, ""nll"": 3.8809151649475098}]",3.8809151649475098,3.8809151649475098,0.020631934915542258,0.020631934915542258,48.46855150006746
charruaLLM,10,126,dev_gold,En México se registraban diez femicidios por día.,En México se registraban diez femicidios por, día,día,cada,1,[1038],"[{""position"": 0, ""token_id"": 1038, ""token"": ""ĠdÃŃa"", ""probability"": 0.17444891796773107, ""nll"": 1.7461233139038086}]",1.7461233139038086,1.7461233139038086,0.17444891796773107,0.17444891796773107,5.732337074082491
charruaLLM,11,131,dev_gold,Nigel Manchini es profesor de Filosofía y magíster en Neuropsicología y Educación.,Nigel Manchini es profesor de Filosofía y magíster en Neuropsicología y, Educación,Educación,Ciencias,1,[4024],"[{""position"": 0, ""token_id"": 4024, ""token"": ""ĠEducaciÃ³n"", ""probability"": 0.0004764498974700456, ""nll"": 7.649147987365723}]",7.649147987365723,7.649147987365723,0.0004764498974700456,0.0004764498974700456,2098.8565750774874
charruaLLM,12,132,dev_gold,Las manifestaciones populares desaparecieron con la pandemia.,Las manifestaciones populares desaparecieron con la, pandemia,pandemia,muerte,2,"[2172, 7461]","[{""position"": 0, ""token_id"": 2172, ""token"": ""Ġpan"", ""probability"": 0.00598470402945371, ""nll"": 5.118548393249512}, {""position"": 1, ""token_id"": 7461, ""token"": ""demia"", ""probability"": 0.9017071803888581, ""nll"": 0.10346544533967972}]",5.222013838589191,2.6110069192945957,0.005396450595860542,0.07346053767745335,13.612750894783092
charruaLLM,13,133,dev_gold,Jair Bolsonaro fue presidente de Brasil.,Jair Bolsonaro fue presidente de, Brasil,Brasil,Brasil,1,[1410],"[{""position"": 0, ""token_id"": 1410, ""token"": ""ĠBrasil"", ""probability"": 0.7858329519842648, ""nll"": 0.24101103842258453}]",0.24101103842258453,0.24101103842258453,0.7858329519842648,0.7858329519842648,1.272535082010691
charruaLLM,14,134,dev_gold,Las redes bolsonaristas acusaron al Partido Comunista Chino por la expansión del coronavirus.,Las redes bolsonaristas acusaron al Partido Comunista Chino por la expansión del, coronavirus,coronavirus,poder,3,"[16045, 341, 4503]","[{""position"": 0, ""token_id"": 16045, ""token"": ""Ġcorona"", ""probability"": 0.01387303585469634, ""nll"": 4.27780818939209}, {""position"": 1, ""token_id"": 341, ""token"": ""vi"", ""probability"": 0.9995069552004041, ""nll"": 0.0004931663861498237}, {""position"": 2, ""token_id"": 4503, ""token"": ""rus"", ""probability"": 0.9994312185447236, ""nll"": 0.0005689432728104293}]",4.27887029905105,1.4262900996836834,0.013858308991472224,0.24019838337598767,4.163225355412482
charruaLLM,15,135,dev_gold,Yang Wanming fue embajador chino en Brasil.,Yang Wanming fue embajador chino en, Brasil,Brasil,la,1,[1410],"[{""position"": 0, ""token_id"": 1410, ""token"": ""ĠBrasil"", ""probability"": 0.002433933391388335, ""nll"": 6.018246650695801}]",6.018246650695801,6.018246650695801,0.002433933391388335,0.002433933391388335,410.85758695704976
